City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Gunnedah,AU,-30.9833,150.25,53.01,94,100,13.35,overcast clouds
80,Kadipur,IN,26.1667,82.3833,88.83,63,97,4.85,overcast clouds
81,Bud,US,39.447,-86.1758,76.95,78,1,2.86,clear sky
82,Rocky Mountain House,CA,52.3668,-114.9188,73.51,73,61,3.44,broken clouds
83,Chokurdakh,RU,70.6333,147.9167,66.87,61,100,8.46,overcast clouds
84,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,88,100,9.22,overcast clouds
85,Butaritari,KI,3.0707,172.7902,81.52,78,82,12.97,light rain
86,General Roca,AR,-39.0333,-67.5833,49.46,53,90,3.94,overcast clouds
87,Caravelas,BR,-17.7125,-39.2481,70.16,90,80,7.9,broken clouds
88,Sangmelima,CM,2.9333,11.9833,64.98,100,64,3.2,broken clouds
89,Dikson,RU,73.5069,80.5464,41.31,93,100,8.9,overcast clouds
90,Kapaa,US,22.0752,-159.319,87.78,63,0,14.97,clear sky
91,Freeport,US,40.6576,-73.5832,79.47,74,0,9.22,clear sky
92,Kargasok,RU,59.0556,80.8572,55.17,65,92,13.49,overcast clouds
93,Santa Maria,BR,-29.6842,-53.8069,49.3,100,1,0.0,fog
94,Atuona,PF,-9.8,-139.0333,77.23,71,12,12.08,few clouds
95,Hilo,US,19.7297,-155.09,84.27,64,20,14.97,few clouds
96,Skjervoy,NO,70.0311,20.9714,51.8,71,73,2.59,broken clouds
97,North Bend,US,43.4065,-124.2243,67.91,94,75,6.91,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,55,40,4.61,scattered clouds
99,Qaanaaq,GL,77.484,-69.3632,43.9,65,100,2.77,overcast clouds
100,Portland,US,45.5234,-122.6762,99.19,36,20,10.36,few clouds
101,Pevek,RU,69.7008,170.3133,52.2,55,0,11.12,clear sky
102,Klaksvik,FO,62.2266,-6.589,50.49,84,83,13.29,broken clouds
103,Ancud,CL,-41.8697,-73.8203,42.22,85,100,1.05,overcast clouds
104,Cape Town,ZA,-33.9258,18.4232,55.38,77,0,7.0,clear sky
105,Faanui,PF,-16.4833,-151.75,78.42,72,10,23.94,light rain
106,Iqaluit,CA,63.7506,-68.5145,46.13,80,75,6.91,broken clouds
107,Port Alfred,ZA,-33.5906,26.891,51.93,72,0,9.42,clear sky
108,Provideniya,RU,64.3833,-173.3,50.11,76,0,6.71,clear sky
109,Paciran,ID,-6.8767,112.3761,81.86,70,26,5.84,scattered clouds
110,Ulladulla,AU,-35.35,150.4667,61.7,50,0,14.07,clear sky
111,Kruisfontein,ZA,-34.0033,24.7314,45.03,77,0,6.4,clear sky
112,Grindavik,IS,63.8424,-22.4338,51.75,87,20,12.66,few clouds
113,Carnarvon,AU,-24.8667,113.6333,70.09,74,100,17.38,light rain
114,Lebu,CL,-37.6167,-73.65,46.58,84,100,4.32,overcast clouds
115,The Valley,AI,18.217,-63.0578,84.06,77,100,19.33,overcast clouds
116,Pangody,RU,65.85,74.4859,53.28,62,2,12.91,clear sky
117,Makakilo City,US,21.3469,-158.0858,82.72,55,75,23.02,broken clouds
118,Viljoenskroon,ZA,-27.2084,26.9485,46.38,38,21,8.39,few clouds
119,Baie-Comeau,CA,49.2168,-68.1489,62.28,77,0,21.85,clear sky
120,Opuwo,NA,-18.0607,13.84,47.71,61,22,6.11,few clouds
121,Georgetown,MY,5.4112,100.3354,82.89,90,40,3.44,scattered clouds
122,Ignatovka,RU,53.9479,47.6536,58.42,79,87,6.96,overcast clouds
123,Ahipara,NZ,-35.1667,173.1667,58.28,55,14,7.25,few clouds
124,Kaitangata,NZ,-46.2817,169.8464,49.08,64,100,8.1,overcast clouds
125,Baykit,RU,61.67,96.37,61.83,80,100,2.84,light rain
126,Hunterville,NZ,-39.9333,175.5667,54.7,63,6,8.12,clear sky
127,Mbanza-Ngungu,CD,-5.25,14.8667,66.27,74,93,7.81,overcast clouds
128,Kommunar,RU,59.6206,30.39,57.43,80,100,4.54,overcast clouds
129,Torbay,CA,47.6666,-52.7314,67.87,80,20,16.11,few clouds
130,Oranjestad,AW,12.524,-70.027,82.35,74,20,23.02,few clouds
131,Boyolangu,ID,-8.1181,111.8935,80.69,68,8,1.23,clear sky
132,Kavaratti,IN,10.5669,72.642,77.94,86,100,23.64,overcast clouds
133,Komsomolskiy,UZ,40.4272,71.7189,77.72,38,22,6.91,few clouds
134,San Quintin,MX,30.4833,-115.95,72.43,70,4,8.48,clear sky
135,Visaginas,LT,55.6,26.4167,59.58,97,100,12.88,overcast clouds
136,Picota,PE,-6.9197,-76.3304,77.49,78,66,1.74,broken clouds
137,Avarua,CK,-21.2078,-159.775,77.05,73,75,13.8,broken clouds
138,Marawi,PH,7.9986,124.2928,81.48,58,100,1.83,overcast clouds
139,Yaqui,MX,27.3667,-110.1667,88.9,51,57,6.87,broken clouds
140,Muli,MV,2.9167,73.5667,81.37,73,100,22.97,overcast clouds
141,Roald,NO,62.5833,6.1333,55.17,81,75,4.61,broken clouds
142,San Patricio,US,28.017,-97.5169,87.89,64,63,13.42,broken clouds
143,Artyom,AZ,40.4723,50.333,71.74,78,2,9.46,clear sky
144,Vani,GE,42.0832,42.5216,67.69,100,75,3.44,broken clouds
145,Coihaique,CL,-45.5752,-72.0662,35.55,75,0,6.91,clear sky
146,Ilhabela,BR,-23.7781,-45.3581,63.3,83,7,6.24,clear sky
147,Ribeira Grande,PT,38.5167,-28.7,73.78,76,19,7.07,few clouds
148,La Mata,PA,8.0833,-80.8833,76.71,86,100,2.86,overcast clouds
149,Staunton,US,38.1496,-79.0717,72.28,78,75,5.75,broken clouds
150,Twin Falls,US,42.3505,-114.6445,94.93,18,0,6.91,clear sky
151,Port Hedland,AU,-20.3167,118.5667,78.85,31,31,11.5,scattered clouds
152,Oyem,GA,1.5995,11.5793,64.17,99,80,2.57,broken clouds
153,Upernavik,GL,72.7868,-56.1549,48.2,69,98,1.81,overcast clouds
